Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
E - Life after the Dot Com Bust / Brigitte Preissl, ,"Preissl, Brigitte","Harry Bouwman;""Charles Steinfield""",Marketing,"Germany. : Physica - Verlag, 2004",NV06119
eBusiness and workplace redesign / Paul Jackson, ,"Jackson, Paul",Reima Suomi,Business Administration,"E. : Routledge, 2002",NV06118
Game theory: A critical text / Shaun P. Hargreaves Heap, ,Heap Shaun P. Hargreaves,Yanis Varoufakis,Statistical,"USA. : Routledge, 2004",NV06117
Discrete - Time signal processing / Alan V. Oppenheim, ,"Oppenheim, V. Alan","Ronald W. Schafer;""John R. Buck""",Natural science and Technology,"USA. : Prentice Hall International, 1999",NV06130
E - Governance: Styles of political judgment in the information age polity / Dr Perri 6, ,Dr Perri 6, ,Social political,"USA. : Palgrave Macmillan, 2004",NV06129
Firewalls: The complete reference / Keith Strassberg, ,Strassberg Keith,"Gary Rollie;""Richard Gondek""",Computer science,"USA. : McGraw - Hill /Osborne, 2002",NV06128
Information technology and the networked economy / Patrick G. McKeown, ,"McKeown, Patrick G.", ,Natural Sciences and Technology,"USA. : Harcourt College Publishers, 2001",NV06127
Global trading system at the crossroads. A post-seattle perspective / Dilip K. Das, ,Das Dilip K., ,"Commerce;""Global trading""","New York : Routledge, 2001",NV05403
Business communication process and product / Mary Ellen Guffey, ,"Guffey, Mary Ellen", ,Business Administration,"New York : South-Western college publishing, 2000","NV04419;""NV04420"""
Industrial organization:contemporary theory and practice / Lynne Pepall, ,Pepall Lynne,"Daniel J. Richards;""George Norman""",Business Administration,"New York : South-Westrn College Publishing, 1999",NV01487
Managerial decision cases / Thomas Finnegan, ,"Finnegan, Thomas", ,Business Administration,"E. : South-Western college publishing, 2000",NV02800
Measuring business interruption losses and other commercial damages / Patrick A. Gaughan, ,"Gaughan, Patrick A.", ,Accounting,"USA. : John Wiley & Son, 2004",NV02752
"Endogenous development networking, innovation, institutions and cities / Antonio Vázquez-Barquero", ,Barquero Antonio Vázquez, ,Economics,"E. : Routledge, 2002",NV02751
Foreign direct investment in emerging economies / Lou Anne A. Barclay, ,"Barclay, Lou Anne A.", ,"Finance and Banking;""investment behaviour""","E. : Routledge, 2000",NV02750
Empirical models and policy-making:interaction and institutions / Frank A.G. den Butter, ,"Butter, Frank A.G. den",Mary S. Morgan,Economics,"E. : Routledge, 2000",NV02749
From business strategy to it action / Robert J. Benson, ,Robert J. Benson,"Thomas L. Bugnitz;""William B. Walton""",Business Administration,"USA. : John Wiley & Sons, 2004",NV02747
Human capital over the life cycle: A european perspective / Catherine Sofer, ,Sofer Catherine, ,Labor economics,"E. : Edward elgar, 2004",NV02746
"Gender, welfare state and the market / Thomas P. Boje", ,"Boje, Thomas P.",Arnlaug Leira,Educational culture,"E. : Routledge, 2000","NV02745;""NV02748"""
Distributional justice theory and measurement / Hilde Bojer, ,Bojer Hilde, ,Economics,"E. : Routledge, 2003",NV02758
Global business today / Charles W. L. Hill, ,Hill Charles W. L., ,"Economics;""Global business""","New York : McGraw-Hill, 2001","NV02394;""NV06875"""
Macro economics a contemporary introduction / Paul Crompton, ,Crompton Paul,"Michael Swann;""William A. McEachern""",Economics,"Autralia : Thomson, 2002",NV02757
"Asian dawn recovery, reform and investing in the new asia / Callum Henderson", ,Henderson Callum, ,Economics,"USA. : Irwin/ McGraw. Hill, 2000",NV02756
Survey of economics / Irvin B. Tucker, ,Tucker Irvin B., ,Economics,"USA. : South-Westrn College Publishing, 2001",NV02755
Principles of microeconomics / Robert H. Frank, ,Frank Robert H.,Ben S. Bernanke,Economics,"USA. : Irwin/ McGraw Hill, 2004",NV02574
Professional selling a trust-based approach / Thomas N. Ingram, ,"Ingram, Thomas N.","Raymond w. Laforge;""Ramon A. Avila""",Marketing,"USA. : Harcourt College Publishers, 2001","NV03650;""NV03651"""
Customer behavior consumer behavior and beyond / Jagdish N. Sheth, ,"Sheth, Jagdish N.","Bruce I. Newman;""Banwari Mittal""",Marketing,"AUS. : Thomson South - Westrn, 1999",NV03665
Global marketing management / Warren J. Keegan, ,"Keegan, Warren J.", ,Marketing,"E. : Prentice - Hall, 2002",NV03666
Market - driven management strategic and operational marketing / Jean-Jacques Lambin, ,"Lambin, Jean - Jacques", ,Marketing,"E. : Macmilian Business, 2000",NV03667
"Marketing real people, real choices / Michael R. Solomon", ,"Solomon, Michael R",Elnora W. Stuart,Marketing,"USA. : Prentice Hall, 2000",NV03637
"Machiavelli, marketing and management / Phil Harris", ,Harris Phil,"Andrew Lock;""Patricia Rees""",Business Administration,"E. : Routledge, 2000",NV03678
Internet marketing building advantage in the networked economy / Rafi Mohammed, ,"Mohammed, Rafi","Robert J. Fisher;""Bernard J.Jaworski""",Marketing,"USA. : McGraw - Hill Irwin, 2002",NV03668
Basic marketing research / Gilbert A.Churchill, ,Gilbert A.Churchill, ,Marketing,"USA. : The Dryden Press, 2001",NV03618
Marketing channels amanagement view / Bert Rosenbloom, ,Rosenbloom Bert, ,Marketing,"USA. : South -Western Thomson Learning, 1999",NV03639
West's business law text cases legal and reguratory environment / Kenneth W. Clarkson, ,"Clarkson, Kenneth W.","Roger LeRoy Miller;""Gaylord A. Jentz""",Law,"USA. : West Publishing Company, 1991",NV03299
Essentials of business law and the legal environment / Richard A. Mann, ,"Mann, Richard A.",Barry S. Roberts,Law,"USA. : West Thomson learning, 2001","NV03368;""NV03397"""
Criminal law and procedure / Daniel E. Hall, ,"Hall, Daniel E.", ,Law,"USA. : West Thomson learning, 2000","NV03317;""NV03409"""
E-Commerce and the law. The legal implications of doing business online / Andrew Sparrow, ,"Sparrow, Andrew", ,Law,"USA. : Prentice Hall, 2000",NV03408
"Business: its legal, ethical and global environment / Marianne Moody Jennings", ,"Jennings, Marianne Moody", ,Law,"New York : West Legal Studies in Business, 2000","NV00375;""NV00376"";""NV00377"";""NV00378"";""NV10294"""
EC competition law / D.G. Goyder, ,"Goyder, D.G.", ,Law,"New York : Oxford university, 2003",NV03406
"Litigation support report writing accounting, finance, and economic issues / Jack P. Friedman", ,Jack P. Friedman,Roman L. Weil,Educational culture,"USA. : John Wiley & Sons, 2003",NV03407
Practical management science / Wayne L. Winston, ,"Winston, Wayne L.","Mark Broadie;""S. Christian Albright""",Business Administration,"USA. : Duxbury, 2001",NV04299
Market-based management strategies for growing customer value and profitability / Roger J. Best, ,Best Roger J., ,Marketing,"New York : Prentice Hall, 2000",NV04399
Making governments plan : State experiments in managing land use / Raymond J. Burby, ,"Burby, Raymond J.",Peter J.May,Real Estate,"London : John Hopkins, 1997",NV04395
Mangement and organizational behavior / Curtis W. Cook, ,Cook Curtis W.,Phillip L.Hunsaker,Business Administration,"New York : McGraw-Hill, 2001",NV04388
Operations management for competitive advantage / Richard B. Chase, ,"Chase, Richard B.","Nicholas J. Aquilano;""F. Robert Jacobs""",Business Administration,"USA. : McGraw-Hill, 2004",NV04061
"International management: culture, strategy, and behavior / Richard M. Hodgetts", ,Hodgetts Richard M.,Fred Luthans,Business Administration,"USA. : McGraw-Hill, 2003",NV04386
Introduction business / Jeff Madura, ,Madura Jeff, ,Business Administration,"New York : South-western, 2001",NV04381
Business ethics / William H. Shaw, ,"Shaw, William H.", ,Philosophy,"New York : Wadsworth Publishing Company, 1999",NV04384
Managing fiscal decentralization / Ehtisham Ahmad, ,"Ahmad, Ehtisham",Vito Tanzi,Finance and Banking,"New York : Routledge, 2002",NV04361
Small business management an entrepreneur's guidebook / William L. Megginson, ,"Megginson, William L.","Megginson C.Leon;""Mary Jane Byrd""",Business Administration,"New York : McGraw-Hill, 2000",NV04362
Management challenges in the 21st century / Pamela S. Lewis, ,"Lewis, S. Pamela","Stephen H. Goodman;""Patricia M. Fandt""","Business Administration;""challenges""","USA. : South-Western college publishing, 2001","NV04137;""NV04298"";""NV04383"""
Understanding management / Richard L. Daft, ,Daft Richard L.,Dorothy Marcic,Business Administration,"New York : South-western, 2001",NV04382
Principles of environmental economics / Ahmed M. Hussen, ,"Ahmed, Hussen M.", ,Real Estate,"E. : Routledge, 2004",NV09057
Firms' investment and finance decisions theory and empirical methodology / Paul Butzen, ,Butzen Paul,Catherine Fuss,"Finance and Banking;""decisions""","E. : Edward elgar, 2003","NV04845;""NV04846"""
Managerial accounting creating value in a dynamic business environment / Ronald W. Hilton, ,"Hilton, Ronald W.", ,Accounting,"New York : McGraw-Hill, 2002",NV03230
"Measuring and managing operational risks in financial institutions tools, techniques, and other resources / Christopher lee Marshall", ,"Marshall, Christopher lee", ,"Finance and Banking;""risk""","USA. : John Wiley & Sons, 2001",NV04691
Financing Southeast Asia's economic developement / Nick J. Freeman, ,Freeman Nick J., ,"Economics;""Asia""","USA. : Institute of southeast, 2004",NV04754
Financial markets money and the real world / Paul Davidson, ,"Davidson, Paul", ,Finance and Banking,"E. : Edward elgar, 2002",NV04712
Financial accounting theory / William R. Scott, ,"Scott, William R.", ,Accounting,"Toronto. : Prentice Hall, 2003",NV04973
Financial valuation workbook step-by-step exercies to help you master financial valuation / James R. Hitchner, ,Hitchner James R.,Michael J. Mard,Finance and Banking,"New Jersey : John Wiley & Sons, 2003",NV04975
Financial sector governance the roles of the public and private sectors / Robert E. Litan, ,"Litan, Robert E.","Michael Pomerleano;""V. Sundararajan""",Finance and Banking,"Washington : Brookings Institution Press, 2002",NV04980
Handbook of international banking / Andrew W. Mullineux, ,"Mullineux, Andrew W.",Victor Murinde,Finance and Banking,"Northampton : Eward Elgar, 2003",NV04979
Modern advanced accounting / E. John Larsen, ,"Larsen, E. John", ,Accounting,"New York : Irwin McGraw-Hill, 2000",NV03222
"Financial markets theory equilibrium, efficiency and information / Emilio Barucci", ,"Barucci, Emilio", ,"Finance and Banking;""market"";""Financial""","USA. : Springer, 2003",NV04878
Financial modeling / Simon Benninga, ,"Benninga, Simon", ,"Finance and Banking;""Financial""","USA. : The MIT Press, 2001",NV04759
Operational risk the new challenge for banks / Gerrit Jan van den Brink, ,Brink Gerrit Jan Van Den, ,"Finance and Banking;""Risk"";""bank""","USA. : Palgrave Macmillan, 2002",NV04854
International handbook on privatization / David Parker, ,"Parker, David",David Saal,"Economics;""Privatization""","E. : Edward elgar, 2003",NV04779
Cost management accounting and control / Don R. Hansen, ,"Hansen, Don R.",Maryanne M. Mowen,Accounting,"USA. : South-Western college publishing, 2000","NV03101;""NV03241"""
Wiley GAAP for governments 2004 interpretation and application of generally accepted accounting principles for State and local governments / Warren Ruppel, ,"Ruppel, Warren", ,"Accounting;""2004"";""Gaap""","USA. : John Willey & Sons, 2004",NV04606
Financial markets and institutions / Jeff Madura, ,"Madura, Jeff", ,"Finance and Banking;""Financial markets""","USA. : South-Western college publishing, 2001",NV04608
Financial accounting tools for business decision making / Paul D. Kimmel, ,"Kimmel, Paul D.","Jerry J. Weygandt;""Donald E. Kieso""",Accounting,"New York : John Wiley & Sons, 2004",NV04983
Financial risk manager handbook / Philippe Jorion, ,Jorion Philippe, ,Finance and Banking,"New Jersey : John Wiley & Sons, 2003",NV04986
Contemporary auditing real issues and cases / Michael C. Knapp, ,"Knapp, Michael C.", ,Accounting,"Ohio. : South-Western college publishing, 2001",NV03214
Intermediate accounting / Loren A. Nikolai, ,"Nikolai, Loren A.",John D. Bazley,Accounting,"Ohio : South-Western college publishing, 2000",NV03218
Financial modeling using Excel and VBA / Chandan Sengupta, ,Sengupta Chandan, ,Finance and Banking,"New Jersey : John Wiley & Sons, 2004",NV04951
The financial system and the economy principles of money and banking / Maureen Burton, ,"Burton, Maureen",Ray Lombra,"Finance and Banking;""Money"";""Financial banking""","Ohio : South-Western college publishing, 2000","NV04950;""NV04963"""
"Mark-to-market accounting :True north"" in financial reporting / Walter P. Schuetze""", ,Schuetze Walter P.,Peter W. Wolnizer,Accounting,"New York : Routledge, 2004",NV03228
Accounting principles / Jerry J. Weygandt, ,"Weygandt, Jerry J.","Donald E. Kieso;""Paul D. Kimmel""",Accounting,"New York. : John Wiley & Sons, 2002",NV03227
Accounting information systems / James A. Hall, ,"Hall, James A.", ,"Accounting;""Accounting"";""Information systems""","USA. : South Western college, 2001","NV03152;""NV03205"""
Management accounting an Australian perspective / Kim Langfield Smith, ,Smith Kim Langfield,"Helen Thorne;""Ronald W. Hilton""",Business Administration,"New York : The McGraw-Hill Companies, Inc, 2002",NV07094
Building accounting systems using Access2000 / James T. Perry, ,"Perry, James T.",Gary P. Schneider,Accounting,"Ohio : South-Western college publishing, 2001",NV03226
"Questions, exercises, problems, and cases to accompany financial accounting / Rick Antle", ,"Antle, Rick","Kathleen Sevigny;""Stanley J. Garstka""",Accounting,"Ohio : South-Western college publishing, 2002",NV04945
Management accounting / Anthony A. Atkinson, ,"Atkinson, Anthony A.","Robert S. Kaplan;""S. Mark Young""",Accounting,"New Jersey. : Pearson Prentice Hall, 2004",NV03220
Managing bank risk an introduction to broad-base credit engineering / Morton Glantz, ,"Glantz, Morton", ,"Finance and Banking;""risk"";""credit""","USA. : Academic press, 2002",NV04929
"Financial forecasting volume II interest rates, exchange rates and volatility / Roy Batchelor", ,"Batchelor, Roy",Pami Dua,"Finance and Banking;""financial""","E. : Elgar reference co, 2003",NV04693
